run_id	prompt_index	turn_role	agent_name	phase	context_budget_tokens	tokens_input	tokens_cached	cache_creation_tokens	tokens_output	noncached_plus_output_tokens	cache_ratio	tool_calls_count	tool_names_json	stop_reason	duration_ms	cost_usd	runtime_sdk	model	effort	context_breakdown_json
bead0650-2f5b-4089-8b62-1d97eee6874f	4	agent	evidence-collector		0	0	0	0	0	0	0.0	0	[]		0	0.0	deterministic			{}
bead0650-2f5b-4089-8b62-1d97eee6874f	5	agent	build-verifier		0	0	0	0	0	0	0.0	0	[]		152965	0.0	deterministic			{}
3fad9297-5a85-4065-9ab7-b651af7a4d56	0	agent	code-gen		0	1617	4278425	0	49616	0	4278425.0	0	[]		1460775	3.2307907499999997	deterministic			{}
3fad9297-5a85-4065-9ab7-b651af7a4d56	1	agent	optimization-agent		0	0	0	0	0	0	0.0	0	[]		19017	0.0	deterministic			{}
3fad9297-5a85-4065-9ab7-b651af7a4d56	2	agent	feature-acceptance-tests		0	0	0	0	0	0	0.0	0	[]		20349	0.0	deterministic			{}
3fad9297-5a85-4065-9ab7-b651af7a4d56	3	agent	evidence-collector		0	0	0	0	0	0	0.0	0	[]		0	0.0	deterministic			{}
3fad9297-5a85-4065-9ab7-b651af7a4d56	4	agent	build-verifier		0	0	0	0	0	0	0.0	0	[]		68299	0.0	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	0	agent	code-gen		0	6474	2817324	0	30852	0	2817324.0	0	[]		1070577	2.4316601	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	1	agent	integration-resolver		0	6	99953	0	2693	0	99953.0	0	[]		45067	0.17602264999999995	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	2	agent	optimization-agent		0	0	0	0	0	0	0.0	0	[]		15306	0.0	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	3	agent	feature-acceptance-tests		0	0	0	0	0	0	0.0	0	[]		10708	0.0	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	4	agent	evidence-collector		0	0	0	0	0	0	0.0	0	[]		0	0.0	deterministic			{}
c2d34c5d-f7bd-4abb-92a0-190c74f5d06b	5	agent	build-verifier		0	0	0	0	0	0	0.0	0	[]		43609	0.0	deterministic			{}
